"Rule ID","Description","Help","Help URL","Impact","Manual","Needs Review","IGT","Selector","Summary","Source Code","Tags","Found By","Test Title","Test URL","Share URL","Created At","Screenshot URL"
"color-contrast","Garantiza que el contraste entre colores de primer plano y fondo cumple los límites de la ratio para contraste WCAG 2 AA","Los elementos deben tener un contraste de colores suficiente","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","["".label""]","Fix any of the following:
  El elemento tiene un contraste de color insuficiente de 4.49 (color de primer plano: #ffffff, color de fondo: #088946, tamaño de fuente: 12.8pt (17px), grosor de fuente: normal). Ratio de contraste esperado: 4.5:1","<span class=""label"">Menú</span>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","carlos.pellit@gmail.com",,"https://www.concellodeames.gal/gl","","2025-04-07T12:12:07.841Z",""
"color-contrast","Garantiza que el contraste entre colores de primer plano y fondo cumple los límites de la ratio para contraste WCAG 2 AA","Los elementos deben tener un contraste de colores suficiente","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","["".language-link.active[href=\""/gl\""]""]","Fix any of the following:
  El elemento tiene un contraste de color insuficiente de 4.01 (color de primer plano: #088946, color de fondo: #f2f2f2, tamaño de fuente: 9.6pt (12.8px), grosor de fuente: normal). Ratio de contraste esperado: 4.5:1","<a href=""/gl"" class=""language-link active"" xml:lang=""gl"">Galego</a>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","carlos.pellit@gmail.com",,"https://www.concellodeames.gal/gl","","2025-04-07T12:12:07.841Z",""
"color-contrast","Garantiza que el contraste entre colores de primer plano y fondo cumple los límites de la ratio para contraste WCAG 2 AA","Los elementos deben tener un contraste de colores suficiente","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","[""#enderezo""]","Fix any of the following:
  El elemento tiene un contraste de color insuficiente de 4.23 (color de primer plano: #737373, color de fondo: #f2f2f2, tamaño de fuente: 10.4pt (13.824px), grosor de fuente: bold). Ratio de contraste esperado: 4.5:1","<a href=""/gl"" title=""www.concellodeames.gal"" rel=""home"" id=""enderezo""> www.concellodeames.gal
            </a>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","carlos.pellit@gmail.com",,"https://www.concellodeames.gal/gl","","2025-04-07T12:12:07.841Z",""
"color-contrast","Garantiza que el contraste entre colores de primer plano y fondo cumple los límites de la ratio para contraste WCAG 2 AA","Los elementos deben tener un contraste de colores suficiente","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","["".more-link > a[href$=\""avisos\""]""]","Fix any of the following:
  El elemento tiene un contraste de color insuficiente de 4.49 (color de primer plano: #088946, color de fondo: #ffffff, tamaño de fuente: 9.6pt (12.8px), grosor de fuente: bold). Ratio de contraste esperado: 4.5:1","<a href=""/gl/avisos"">
    &gt;&gt; Ver máis  </a>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","carlos.pellit@gmail.com",,"https://www.concellodeames.gal/gl","","2025-04-07T12:12:07.841Z",""
"color-contrast","Garantiza que el contraste entre colores de primer plano y fondo cumple los límites de la ratio para contraste WCAG 2 AA","Los elementos deben tener un contraste de colores suficiente","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","[""#quicktabs-tab-quicktab_destacados_portada-0""]","Fix any of the following:
  El elemento tiene un contraste de color insuficiente de 4.49 (color de primer plano: #ffffff, color de fondo: #088946, tamaño de fuente: 11.5pt (15.36px), grosor de fuente: normal). Ratio de contraste esperado: 4.5:1","<a href=""/gl/portada?qt-quicktab_destacados_portada=0#qt-quicktab_destacados_portada"" id=""quicktabs-tab-quicktab_destacados_portada-0"" class=""active quicktabs-loaded jquery-once-3-processed"">Trámites e servizos </a>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","carlos.pellit@gmail.com",,"https://www.concellodeames.gal/gl","","2025-04-07T12:12:07.841Z",""
"color-contrast","Garantiza que el contraste entre colores de primer plano y fondo cumple los límites de la ratio para contraste WCAG 2 AA","Los elementos deben tener un contraste de colores suficiente","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","["".more-link > a[href$=\""actualidade\""]""]","Fix any of the following:
  El elemento tiene un contraste de color insuficiente de 4.49 (color de primer plano: #088946, color de fondo: #ffffff, tamaño de fuente: 10.1pt (13.44px), grosor de fuente: bold). Ratio de contraste esperado: 4.5:1","<a href=""/gl/actualidade"">
    &gt;&gt; Ver máis  </a>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","carlos.pellit@gmail.com",,"https://www.concellodeames.gal/gl","","2025-04-07T12:12:07.841Z",""
"color-contrast","Garantiza que el contraste entre colores de primer plano y fondo cumple los límites de la ratio para contraste WCAG 2 AA","Los elementos deben tener un contraste de colores suficiente","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","["".view-display-id-block_1 > .view-header > .date-nav-wrapper.clearfix > .date-nav.item-list > .pager > .date-prev > a[title=\""Navegar ao mes anterior\""][rel=\""nofollow\""]""]","Fix any of the following:
  El elemento tiene un contraste de color insuficiente de 4.49 (color de primer plano: #088946, color de fondo: #ffffff, tamaño de fuente: 10.8pt (14.4px), grosor de fuente: bold). Ratio de contraste esperado: 4.5:1","<a href=""https://www.concellodeames.gal/gl/portada?mini=2025-03"" title=""Navegar ao mes anterior"" rel=""nofollow"">« Anterior</a>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","carlos.pellit@gmail.com",,"https://www.concellodeames.gal/gl","","2025-04-07T12:12:07.841Z",""
"color-contrast","Garantiza que el contraste entre colores de primer plano y fondo cumple los límites de la ratio para contraste WCAG 2 AA","Los elementos deben tener un contraste de colores suficiente","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","["".view-display-id-block_1 > .view-header > .date-nav-wrapper.clearfix > .date-nav.item-list > .pager > .date-next > a[title=\""Navegar ao seguinte mes\""][rel=\""nofollow\""]""]","Fix any of the following:
  El elemento tiene un contraste de color insuficiente de 4.49 (color de primer plano: #088946, color de fondo: #ffffff, tamaño de fuente: 10.8pt (14.4px), grosor de fuente: bold). Ratio de contraste esperado: 4.5:1","<a href=""https://www.concellodeames.gal/gl/portada?mini=2025-05"" title=""Navegar ao seguinte mes"" rel=""nofollow"">Seguinte »</a>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","carlos.pellit@gmail.com",,"https://www.concellodeames.gal/gl","","2025-04-07T12:12:07.841Z",""
"color-contrast","Garantiza que el contraste entre colores de primer plano y fondo cumple los límites de la ratio para contraste WCAG 2 AA","Los elementos deben tener un contraste de colores suficiente","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","[""#luns""]","Fix any of the following:
  El elemento tiene un contraste de color insuficiente de 3.57 (color de primer plano: #777777, color de fondo: #dfe7e9, tamaño de fuente: 9.6pt (12.8px), grosor de fuente: bold). Ratio de contraste esperado: 4.5:1","<th class=""days mon"" id=""luns"">
          luns        </th>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","carlos.pellit@gmail.com",,"https://www.concellodeames.gal/gl","","2025-04-07T12:12:07.841Z",""
"color-contrast","Garantiza que el contraste entre colores de primer plano y fondo cumple los límites de la ratio para contraste WCAG 2 AA","Los elementos deben tener un contraste de colores suficiente","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=AxeChrome","serious","No","No","","[""#martes""]","Fix any of the following:
  El elemento tiene un contraste de color insuficiente de 3.57 (color de primer plano: #777777, color de fondo: #dfe7e9, tamaño de fuente: 9.6pt (12.8px), grosor de fuente: bold). Ratio de contraste esperado: 4.5:1","<th class=""days tue"" id=""martes"">
          martes        </th>","cat.color,wcag2aa,wcag143,TTv5,TT13.c,EN-301-549,EN-9.1.4.3,ACT","carlos.pellit@gmail.com",,"https://www.concellodeames.gal/gl","","2025-04-07T12:12:07.841Z",""
